Taxon_name	Attribute
Spirillospora	aerobic
Sagittula	aerobic
Skermania	aerobic
Epilithonimonas	aerobic
Kaistella	aerobic
Sejongia 	aerobic
Empedobacter	aerobic
Bergeyella	aerobic
Marinilabilia	facultatively anaerobic
Flammeovirga	aerobic
Persicobacter	facultatively anaerobic
Alcanivorax 	aerobic
Staleya	aerobic
Halogeometricum 	aerobic
Halosarcina	aerobic
Desulfobacca	anaerobic
Holdemania	anaerobic
Methylorhabdus	aerobic
Thermocladium 	anaerobic
Natronomonas	aerobic
Demetria 	aerobic
Nevskia	aerobic
Carnimonas	aerobic
Marinospirillum	aerobic
Acidaminobacter	anaerobic
Actinoalloteichus	aerobic
Cryptosporangium	aerobic
Virgisporangium	aerobic
Meiothermus	aerobic
Facklamia	facultatively anaerobic
Desulfonatronum	anaerobic
Ammoniphilus	aerobic
Sporotomaculum	anaerobic
Mesorhizobium	aerobic
Cyclobacterium	aerobic
Coprothermobacter	anaerobic
Terracoccus	aerobic
Defluvibacter	aerobic
Cryobacterium	aerobic
Sulfurisphaera	facultatively anaerobic
Azomonas	aerobic
Macrococcus	facultatively anaerobic
Hydrogenophilus	aerobic
Flexithrix	aerobic
Lewinella	aerobic
Brenneria 	facultatively anaerobic
Methylarcula	aerobic
Citromicrobium 	anaerobic
Tessaracoccus	facultatively anaerobic
Dechloromonas	facultatively anaerobic
Roseovarius	aerobic
Antarctobacter	aerobic
Ferroplasma 	facultatively anaerobic
Rhodanobacter	aerobic
Duganella	aerobic
Balneatrix	aerobic
Neptunomonas	aerobic
Mannheimia	facultatively anaerobic
Thermobacillus	aerobic
Mycetocola	aerobic
Myroides	aerobic
Actinobaculum 	anaerobic
Caldivirga	anaerobic
Craurococcus 	aerobic
Succinispira	anaerobic
Alterococcus 	facultatively anaerobic
Desulfosporosinus	anaerobic
Chitinophaga	aerobic
Denitrobacterium	anaerobic
Delftia	aerobic
Aminomonas	anaerobic
Aminobacterium	anaerobic
Methylovorus	aerobic
Centipeda	anaerobic
Ornithinicoccus 	aerobic
Trichococcus	aerobic
Buttiauxella	facultatively anaerobic
Leminorella	facultatively anaerobic
Obesumbacterium	facultatively anaerobic
Pragia	facultatively anaerobic
Tatumella	facultatively anaerobic
Psychroflexus	aerobic
Luteimonas	aerobic
Pseudoxanthomonas	aerobic
Leclercia	facultatively anaerobic
Desulfonispora	anaerobic
Thermobifida	aerobic
Nonomuraea	aerobic
Propionibacter	anaerobic
Propionivibrio	anaerobic
Succinivibrio	anaerobic
Palaeococcus	facultatively anaerobic
Propionispira	anaerobic
Zymophilus	anaerobic
Syntrophococcus	anaerobic
Virgibacillus 	aerobic
Pedobacter	aerobic
Verrucosispora	aerobic
Beutenbergia 	aerobic
Williamsia	aerobic
Bosea	aerobic
Mogibacterium	anaerobic
Marmoricola	aerobic
Modestobacter	aerobic
Thermodesulforhabdus	anaerobic
Ferribacterium	anaerobic
Ignavigranum	facultatively anaerobic
Desulfocella	anaerobic
Glaciecola	aerobic
Rubrimonas 	aerobic
Hymenobacter 	aerobic
Oligella	aerobic
Asaia	aerobic
Pseudaminobacter	aerobic
