Parent_name	ph_category
Methanosarcina	neutrophile
Methanosphaerula	acidophile
Methanospirillum	neutrophile
Methanothermobacter	neutrophile
Methanothermus	neutrophile
Methanothrix	neutrophile
Methanotorris	neutrophile
Methylibium	neutrophile
Methylobacter	neutrophile
Methylocystis	neutrophile
Methyloglobulus	neutrophile
Methylohalobius	neutrophile
Methylophaga	neutrophile
Methylosarcina	neutrophile
Methylotenera	neutrophile
Methylotuvimicrobium	alkaliphile
Methylovulum	neutrophile
Microbulbifer	neutrophile
Microlunatus	neutrophile
Mobilicoccus	neutrophile
Modestobacter	neutrophile
Moorella	neutrophile
Moritella	neutrophile
Mucilaginibacter	neutrophile
Mycetohabitans	neutrophile
Mycoplasmopsis	neutrophile
Nafulsella	neutrophile
Nakamurella	neutrophile
Natranaerobius	alkaliphile
Natrialba	alkaliphile
Natrinema	neutrophile
Natronococcus	alkaliphile
Natronolimnohabitans	alkaliphile
Natronorubrum	alkaliphile
Nautilia	neutrophile
Neisseria	neutrophile
Neobacillus	neutrophile
Neptuniibacter	alkaliphile
Nesterenkonia	alkaliphile
Niabella	neutrophile
Niastella	neutrophile
Nitratifractor	neutrophile
Nitratireductor	neutrophile
Nitritalea	alkaliphile
Nitrococcus	neutrophile
Nitrosococcus	neutrophile
Nitrosomonas	neutrophile
Nocardiopsis	alkaliphile
Nonomuraea	neutrophile
Novosphingobium	neutrophile
Oceanicaulis	acidophile
Oceanicola	neutrophile
Oceanimonas	neutrophile
Oceanithermus	neutrophile
Oceanobacillus	alkaliphile
Odoribacter	neutrophile
Oenococcus	neutrophile
Olsenella	neutrophile
Opitutus	neutrophile
Ornithinibacillus	alkaliphile
Ornithinimicrobium	neutrophile
Oscillibacter	neutrophile
Owenweeksia	neutrophile
Paenibacillus	neutrophile
Paeniglutamicibacter	neutrophile
Paraburkholderia	neutrophile
Paraglaciecola	neutrophile
Parascardovia	acidophile
Patulibacter	neutrophile
Pectobacterium	neutrophile
