Taxon_name	Attribute
Cryomorpha	gram stain negative
Cryptanaerobacter	gram stain positive
Cryptobacterium	gram stain positive
Cryptosporangium	gram stain positive
Cuneatibacter	gram stain positive
Cupriavidus	gram stain negative
Curtobacterium	gram stain positive
Cycloclasticus	gram stain negative
Cytophaga	gram stain negative
Dactylosporangium	gram stain positive
Dechloromonas	gram stain negative
Dechlorosoma	gram stain negative
Deferribacter	gram stain negative
Defluvibacter	gram stain negative
Dehalobacter	gram stain negative
Deinococcus	gram stain positive
Delftia	gram stain negative
Demequina	gram stain positive
Demetria	gram stain positive
Dendrosporobacter	gram stain negative
Denitrobacterium	gram stain positive
Dermacoccus	gram stain positive
Dermatophilus	gram stain positive
Derxia	gram stain negative
Desemzia	gram stain positive
Desulfacinum	gram stain negative
Desulfallas	gram stain negative
Desulfarculus	gram stain negative
Desulfatiferula	gram stain negative
Desulfatiglans	gram stain negative
Desulfatirhabdium	gram stain negative
Desulfatitalea	gram stain negative
Desulfobacca	gram stain negative
Desulfobacter	gram stain negative
Desulfobacterium	gram stain negative
Desulfobacula	gram stain negative
Desulfobotulus	gram stain negative
Desulfobulbus	gram stain negative
Desulfocella	gram stain negative
Desulfococcus	gram stain negative
Desulfoconvexum	gram stain negative
Desulfocucumis	gram stain negative
Desulfofaba	gram stain negative
Desulfofarcimen	gram stain negative
Desulfofrigus	gram stain negative
Desulfofustis	gram stain negative
Desulfohalobium	gram stain negative
Desulfohalotomaculum	gram stain negative
Desulfoluna	gram stain negative
Desulfomicrobium	gram stain negative
Desulfomonile	gram stain negative
Desulfonatronobacter	gram stain negative
Desulfonatronovibrio	gram stain negative
Desulfonatronum	gram stain negative
Desulfonema	gram stain negative
Desulfonispora	gram stain positive
Desulfopila	gram stain negative
Desulfoplanes	gram stain negative
Desulfoprunum	gram stain negative
Desulforegula	gram stain negative
Desulforhabdus	gram stain negative
Desulforhopalus	gram stain negative
Desulfosalsimonas	gram stain negative
Desulfosarcina	gram stain negative
Desulfosoma	gram stain negative
Desulfospira	gram stain negative
Desulfosporosinus	gram stain negative
Desulfotalea	gram stain negative
Desulfothermus	gram stain negative
Desulfotignum	gram stain negative
Desulfotomaculum	gram stain positive
Desulfovibrio	gram stain negative
Desulfovirga	gram stain negative
Desulfovirgula	gram stain positive
Desulfurella	gram stain negative
Desulfurispora	gram stain positive
Desulfurobacterium	gram stain negative
Desulfurococcus	gram stain negative
Desulfuromonas	gram stain negative
Desulfuromusa	gram stain negative
Dethiosulfovibrio	gram stain negative
Devosia	gram stain negative
Devriesea	gram stain positive
Dialister	gram stain negative
Diaminobutyricibacter	gram stain positive
Diaminobutyricimonas	gram stain positive
Dichelobacter	gram stain negative
Dichotomicrobium	gram stain negative
Dictyoglomus	gram stain negative
Dietzia	gram stain positive
Dokdonia	gram stain negative
Dolosicoccus	gram stain positive
Dolosigranulum	gram stain positive
Donghaeana	gram stain negative
Dorea	gram stain positive
Duganella	gram stain negative
Dyadobacter	gram stain negative
Dysgonomonas	gram stain negative
Ectothiorhodospira	gram stain negative
Edaphobacter	gram stain negative
Edwardsiella	gram stain negative
Effluviibacter	gram stain negative
Effusibacillus	gram stain positive
Eggerthella	gram stain positive
Ehrlichia	gram stain negative
Eikenella	gram stain negative
Elioraea	gram stain negative
Elizabethkingia	gram stain negative
Elusimicrobium	gram stain negative
